time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
4784000,59800,870,5496,-0.006408493500202894,85.9,0.0007,59799,0.08149933815002441,727.23,0.9728281106799841,-0.23016686737537384,,
4792000,59900,870,5504,-0.006219749804586172,85.3,0.0007,59899,0.30893710255622864,743.66,0.8794600516557693,-0.6174637079238892,,
4800000,,,,-0.06423027068376541,,0.0007,59999,0.16688306629657745,,0.8900612890720367,-0.37754422426223755,107.0,1100.8
4800000,60000,868,5524,,85.26,,,,739.78,,,,
4808000,60100,868,5532,0.03129668906331062,85.14,0.0007,60099,0.17755475640296936,743.76,0.9737086370587349,-0.3451402485370636,,
4816000,60200,869,5541,-0.09272649139165878,85.32,0.0007,60199,0.17318153381347656,726.55,0.9526127986609936,-0.8426762819290161,,
4824000,60300,869,5550,-0.19644001126289368,86.1,0.0007,60299,1.7381298542022705,722.66,0.760153740644455,-0.2557149827480316,,
4832000,60400,869,5558,0.021797843277454376,85.91,0.0007,60399,1.7438446283340454,724.99,0.7426938414573669,-0.16521234810352325,,
4840000,60500,869,5566,0.12685871124267578,89.53,0.0007,60499,3.6045491695404053,725.98,0.5623042583465576,-0.35156509280204773,,
4848000,60600,869,5575,-0.011436203494668007,92.4,0.0007,60599,0.2767316997051239,696.82,0.9488304480910301,-0.2522023916244507,,
4856000,60700,869,5583,0.0056629478931427,94.41,0.0007,60699,0.9277416467666626,685.47,0.8353403657674789,-0.29895469546318054,,
4864000,60800,869,5592,-0.01298245508223772,93.89,0.0007,60799,0.20912997424602509,682.38,0.9448607861995697,-0.19325797259807587,,
4872000,60900,869,5600,-0.012062677182257175,97.54,0.0007,60899,0.4217563569545746,658.82,0.908040814101696,-0.48056259751319885,,
4880000,61000,869,5609,0.001255543204024434,100.2,0.0007,60999,0.15347151458263397,662.34,0.9718727767467499,-0.22465120255947113,,
4888000,61100,870,5617,-0.1682615727186203,102.23,0.0007,61099,1.3553329706192017,671.73,0.6831225752830505,-0.3870552182197571,,
