time/time_elapsed,rollout/exploration_rate,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
4659,0.05,1775876,39756,381,34.43,897.42,,,107867,0.0001,0.39860957860946655
4659,0.05,1776096,39760,381,34.43,897.42,,,107880,0.0001,0.10285407304763794
4660,0.05,1776408,39764,381,34.54,897.03,,,107900,0.0001,0.20710112154483795
4661,0.05,1776672,39768,381,34.56,891.26,,,107916,0.0001,0.3327486515045166
4661,0.05,1776932,39772,381,34.51,893.11,,,107933,0.0001,0.1629234254360199
4662,0.05,1777112,39776,381,34.64,898.29,,,107944,0.0001,0.10456817597150803
4663,0.05,1777416,39780,381,34.58,897.18,,,107963,0.0001,0.059874944388866425
4663,0.05,1777676,39784,381,34.59,898.62,,,107979,0.0001,0.0396566167473793
4664,0.05,1777836,39788,381,34.66,899.47,,,107989,0.0001,0.030856940895318985
4665,0.05,1778156,39792,381,34.73,902.17,,,108009,0.0001,0.02495240420103073
4665,0.05,1778348,39796,381,34.69,904.19,,,108021,0.0001,0.15607893466949463
4665,0.05,1778504,39800,381,34.69,904.19,,,108031,0.0001,0.09536845237016678
4666,0.05,1778780,39804,381,34.69,904.19,,,108048,0.0001,0.24827569723129272
4667,0.05,1779136,39808,381,35.14,903.91,,,108070,0.0001,0.09371323883533478
4668,0.05,1779300,39812,381,35.57,909.87,,,108081,0.0001,0.04201660305261612
4668,0.05,1779412,39816,381,35.57,909.87,,,108088,0.0001,0.34751206636428833
4669,0.05,1779708,39820,381,35.63,909.43,,,108106,0.0001,0.03983122855424881
4669,0.05,1780024,39824,381,35.58,908.72,,,108126,0.0001,0.5294556021690369
4670,0.05,1780184,39828,381,35.55,907.53,,,108136,0.0001,0.3395496606826782
4671,0.05,1780604,39832,381,35.5,906.49,,,108162,0.0001,0.4275504946708679
4671,0.05,1780748,39836,381,35.5,906.49,,,108171,0.0001,0.032339297235012054
4672,0.05,1780920,39840,381,35.5,906.49,,,108182,0.0001,0.09733995050191879
4673,0.05,1781348,39844,381,35.46,910.23,,,108209,0.0001,0.031168974936008453
4673,0.05,1781464,39848,381,35.46,910.23,,,108216,0.0001,0.07654861360788345
4673,0.05,1781624,39852,381,35.45,912.84,,,108226,0.0001,0.3836715817451477
4674,0.05,1781880,39856,381,35.45,912.84,,,108242,0.0001,0.18985451757907867
4675,0.05,1782076,39860,381,35.39,904.06,,,108254,0.0001,0.29317355155944824
4675,0.05,1782344,39864,381,35.46,907.56,,,108271,0.0001,0.1496516466140747
4676,0.05,1782688,39868,381,35.5,906.94,,,108292,0.0001,0.14312344789505005
4677,0.05,1782916,39872,381,35.44,906.49,,,108307,0.0001,0.062236934900283813
4677,0.05,1783052,39876,381,35.53,910.69,,,108315,0.0001,0.15961207449436188
4678,0.05,1783356,39880,381,35.58,914.14,,,108334,0.0001,0.22303669154644012
4678,0.05,1783540,39884,381,35.59,916.92,,,108346,0.0001,0.12901489436626434
4679,0.05,1783764,39888,381,35.59,916.92,,,108360,0.0001,0.05846771225333214
4679,0.05,1784000,39892,381,35.57,919.02,,,108374,0.0001,0.44787418842315674
4680,0.05,1784276,39896,381,35.6,920.73,,,108392,0.0001,0.05398799479007721
4681,0.05,1784452,39900,381,35.6,920.73,,,108403,0.0001,0.05500776693224907
4681,0.05,1784608,39904,381,35.6,920.73,,,108412,0.0001,0.16153541207313538
4682,0.05,1784908,39908,381,35.72,926.23,,,108431,0.0001,0.03173445165157318
