rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
,,,1200000,,,1460,-0.04147874219925143,0.8049835115671158,0.17469217,0.0003,0.2,0.4888601303100586,0.33017578125,-0.4555546959862113,1.068767014273908,1289.8,82.6
1266.68,4325,103.64,1204224,147,278,,,,,,,,,,,,
1271.95,4352,108.56,1212416,148,278,1470,-0.04092529484187253,0.7697371989488602,0.18767071,0.0003,0.2,0.3456563353538513,0.33787841796875,-0.4568455900531262,1.1468579658307134,,
1264.89,4381,109.01,1220608,149,278,1480,-0.0390236252307659,0.8206549882888794,0.17798689,0.0003,0.2,0.28985992074012756,0.34146728515625,-0.43826842282433065,0.8313170454988722,,
1264.35,4410,112.1,1228800,150,278,1490,-0.0420921483739221,0.797789677977562,0.16795684,0.0003,0.2,0.3311232924461365,0.34407958984375,-0.45423842277377846,1.194748911948409,,
1207.88,4439,104.55,1236992,151,278,1500,-0.0420893694012193,0.816713884472847,0.17659506,0.0003,0.2,0.5043973922729492,0.3438720703125,-0.4612061235355213,1.1019711532688234,,
,,,1240000,,,1510,-0.044497191371920056,0.7191873788833618,0.1754687,0.0003,0.2,0.2809746265411377,0.35108642578125,-0.4946841194294393,1.4330782308941707,1440.8,107.8
1206.84,4474,100.81,1245184,152,278,,,,,,,,,,,,
1202.59,4504,97.33,1253376,153,278,1520,-0.04144579570638598,0.7831521928310394,0.1735425,0.0003,0.2,0.1940203607082367,0.3460693359375,-0.4699103941908106,1.261864064016845,,
1200.2,4534,98.22,1261568,154,278,1530,-0.04343092834897107,0.8224516063928604,0.18785274,0.0003,0.2,0.23479434847831726,0.354345703125,-0.4792936907382682,0.8595053288387134,,
